"left","bottom","right","top","confidence","cluster","table","row","file_id","file_number","entry_id","name_id","col.header","price_center_x_orig","price_center_y_orig","text.true","truth_entered_by","price_raw","type_raw","price_new","type_new","flag_year","flag_amount","flag_size","flag_digit","flag_order","flag_type_new","sum_flag"
1837,3805,1976,3845,80.6588287353516,2,1,5,"UCD_Lehmann_0011","0011","0011_1_15","0011_1_5","Case",1915.27949281007,3825.94774995848,NA,NA,"55.00","TRUE","55.00","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1839,4175,1978,4215,77.2532119750977,2,1,6,"UCD_Lehmann_0011","0011","0011_1_16","0011_1_6","Case",1921.21447755494,4195.90555289833,NA,NA,"59.30","TRUE","59.30","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1840,4477,1980,4517,96.7784805297852,2,1,8,"UCD_Lehmann_0011","0011","0011_1_17","0011_1_8","Case",1925.92628340431,4497.8725194454,NA,NA,"59.30","TRUE","59.30","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1841,4750,1981,4791,82.3836975097656,2,1,9,"UCD_Lehmann_0011","0011","0011_1_18","0011_1_9","Case",1929.83500864321,4771.34641557994,NA,NA,"64.70","TRUE","64.70","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1843,5071,1982,5111,96.3205413818359,2,1,10,"UCD_Lehmann_0011","0011","0011_1_19","0011_1_10","Case",1934.74356938557,5091.81233581396,NA,NA,"64.70","TRUE","64.70","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3582,2424,3714,2465,92.0448989868164,3,2,1,"UCD_Lehmann_0011","0011","0011_2_20","0011_2_1","Case",3641.99882881325,2427.00427909458,NA,NA,"96.75","TRUE","96.75","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3551,2736,3716,2776,95.5132217407227,3,2,2,"UCD_Lehmann_0011","0011","0011_2_21","0011_2_2","Case",3630.81257587841,2738.64087473969,NA,NA,"102.50","TRUE","102.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3550,2924,3715,2964,96.5410003662109,3,2,3,"UCD_Lehmann_0011","0011","0011_2_22","0011_2_3","Case",3631.81208756463,2926.64087733647,NA,NA,"118.00","TRUE","118.00","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3552,3161,3717,3201,94.2508392333984,3,2,4,"UCD_Lehmann_0011","0011","0011_2_23","0011_2_4","Case",3636.3325641599,3163.60620241876,NA,NA,"145.80","TRUE","145.80","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3552,3497,3718,3537,96.6659698486328,3,2,5,"UCD_Lehmann_0011","0011","0011_2_24","0011_2_5","Case",3640.40603015385,3499.58188141174,NA,NA,"156.60","TRUE","156.60","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3536,3750,3719,3784,94.0693054199219,3,2,7,"UCD_Lehmann_0011","0011","0011_2_25","0011_2_7","Case",3635.56530424008,3749.64750754342,NA,NA,"this 1961","FALSE","1961","year",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3
3554,3875,3721,3917,92.1040115356445,3,2,8,"UCD_Lehmann_0011","0011","0011_2_26","0011_2_8","Case",3646.93670521658,3878.53385763462,NA,NA,"189.00","TRUE","189.00","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3553,4226,3720,4269,88.444465637207,3,2,9,"UCD_Lehmann_0011","0011","0011_2_27","0011_2_9","Case",3649.67510474085,4230.02461308637,NA,NA,"189.00","TRUE","189.00","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3555,4673,3721,4717,63.6322174072266,3,2,10,"UCD_Lehmann_0011","0011","0011_2_28","0011_2_10","Case",3655.93436123508,4677.48335052273,NA,NA,"19440","year","189.00","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3558,4877,3719,4935,96.4150695800781,3,2,11,"UCD_Lehmann_0011","0011","0011_2_29","0011_2_11","Case",3658.67840227639,4888.46609919845,NA,NA,"253.80","TRUE","253.80","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3377,2423,3483,2464,96.8138961791992,4,2,1,"UCD_Lehmann_0011","0011","0011_2_30","0011_2_1",NA,3424.00052294033,2428.32285276943,NA,NA,"8.95","TRUE","8.95","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3344.21428571429,2925,3482,2966,89.2180252075195,4,2,3,"UCD_Lehmann_0011","0011","0011_2_31","0011_2_3",NA,3412.44759182437,2930.47412321,NA,NA,"10.95","TRUE","10.95","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3347.21428571429,3162,3485,3203,69.3539581298828,4,2,4,"UCD_Lehmann_0011","0011","0011_2_32","0011_2_4",NA,3417.96801186218,3167.42881289266,NA,NA,"13.50","TRUE","13.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3347.21428571429,3496,3485,3537,87.8456420898438,4,2,5,"UCD_Lehmann_0011","0011","0011_2_33","0011_2_5",NA,3421.52023533561,3501.40992270038,NA,NA,"14.50","TRUE","14.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3294,3710,3526,3738,21.2175140380859,4,2,6,"UCD_Lehmann_0011","0011","0011_2_34","0011_2_6",NA,3417.62028330434,3708.96313893186,NA,NA,"1718S Of ret","number","1718S Of ret","number",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
3330,3878,3487,3919,85.5115356445312,4,2,8,"UCD_Lehmann_0011","0011","0011_2_35","0011_2_8",NA,3417.97624537441,3883.46922275419,NA,NA,"17.50","TRUE","17.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3348.21428571429,4231,3486,4272,88.5335693359375,4,2,9,"UCD_Lehmann_0011","0011","0011_2_36","0011_2_9",NA,3430.33719749964,4236.35771756625,NA,NA,"17.50","TRUE","17.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3330,4679,3488,4720,44.6827926635742,4,2,10,"UCD_Lehmann_0011","0011","0011_2_37","0011_2_10",NA,3426.99517219216,4684.41860252738,NA,NA,"18.00","TRUE","18.00","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3350.21428571429,4886,3488,4954,85.8417358398438,4,2,11,"UCD_Lehmann_0011","0011","0011_2_38","0011_2_11",NA,3439.4468490314,4904.79863810371,NA,NA,"23.50","TRUE","23.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1520,2151,1630,2191,91.4515914916992,1,1,1,"UCD_Lehmann_0027","0027","0027_1_1","0027_1_1","Bottle",1561.71718025261,2177.94515395001,"1.99","David","1.99","TRUE","1.99","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
