mark_id,user_id,page_id,xy,type,wine_type,color,country,name,section,anonymous,vintage,bottle_type,perprice,caseprice,created,updated
bddb2505-a8e7-4776-bcb2-b2604a7cbc4d,,fc990049-54a2-4055-8570-a0f1960c9786,"{614,502}",wine,Still,Red,France,"CHATEAU LA MISSION

HAUT BRION (Graves)",The Good 1960 and 1963 Clarets,,1963,Standard,3.79,40.95,2017-06-14 21:18:14,2017-06-14 21:18:14
1eebff37-b472-4b47-8550-0dd4d59aa223,,fc990049-54a2-4055-8570-a0f1960c9786,"{614,602}",wine,Still,Red,France,"CHATEAU LATOUR HAUT BRION
 (Graves)",The Good 1960 and 1963 Clarets,,1963,Standard,2.99,32.3,2017-06-14 21:18:14,2017-06-14 21:18:14
6d7efc07-38b5-4c51-9cc7-0cecb1e2baa5,,fc990049-54a2-4055-8570-a0f1960c9786,"{614,686}",wine,Still,Red,France,"CHATEAU DUCRU BEAUCAILLOU
 (St. Julien)",The Good 1960 and 1963 Clarets,,1963,Standard,2.49,26.9,2017-06-14 21:18:14,2017-06-14 21:18:14
18dbb56a-8b68-4b78-8080-f77ef70ad266,,b39978cd-983c-4d61-b24d-721a253fe0a6,"{82,309}",wine,Still,White,France,"MOUTON CADET BLANC, Baron Philippe de Rothschild",White Bordeaux,,1966,Standard,2.97,32.1,2017-06-14 21:18:14,2017-06-14 21:18:14
610581db-2789-461a-a162-73e0e1f9f1ca,,b39978cd-983c-4d61-b24d-721a253fe0a6,"{81,385}",wine,Still,White,France,"SAUTERNES, Nicolas",White Bordeaux,,1961,Standard,2.49,26.9,2017-06-14 21:18:14,2017-06-14 21:18:14
916439f1-ae10-4912-bd14-969da38e9687,,b39978cd-983c-4d61-b24d-721a253fe0a6,"{80,717}",wine,Still,White,France,"BORDEAUX BLANC, Domaine de la Marquis",White Bordeaux,,1966,Standard,1.39,15,2017-06-14 21:18:14,2017-06-14 21:18:14
fcebcc14-f330-4eeb-9129-9e9ab2ead479,,b39978cd-983c-4d61-b24d-721a253fe0a6,"{597,411}",wine,Still,White,France,"CHATEAU HAUT BRION

BLANC (Graves)",White Bordeaux,,1966,Standard,7.95,89.5,2017-06-14 21:18:14,2017-06-14 21:18:14
fc1e8763-0e05-4b5b-b976-514b6ee4e7ec,,b39978cd-983c-4d61-b24d-721a253fe0a6,"{596,760}",wine,Still,White,France,CHATEAU GUIRAUD (Sauternes),White Bordeaux,,1959,Standard,3.49,37.77,2017-06-14 21:18:14,2017-06-14 21:18:14
ff914b19-66a1-4d92-80c3-3c242f2753fe,,b39978cd-983c-4d61-b24d-721a253fe0a6,"{82,193}",wine,Still,White,France,"CHATEAU LAVILLE HAUT

BRION (Graves)",White Bordeaux,,1964,Standard,3.19,34.45,2017-06-14 21:18:14,2017-06-14 21:18:14
a74ae502-cada-4916-a97e-f2128821ca2f,,b39978cd-983c-4d61-b24d-721a253fe0a6,"{81,517}",wine,Still,White,France,CHATEAU F ERRANDE (Graves),White Bordeaux,,1966,Standard,2.29,24.75,2017-06-14 21:18:14,2017-06-14 21:18:14
2adfd4ee-c41f-46ce-b11d-cf76dc844acf,,b39978cd-983c-4d61-b24d-721a253fe0a6,"{76,619}",wine,Still,White,France,"GRAVES SUPERIEUR, Domaine",White Bordeaux,,1966,Standard,1.79,19.35,2017-06-14 21:18:14,2017-06-14 21:18:14
04a79504-abbb-4920-9f3d-a36de4a5e4ca,,bdf09e74-ea8b-4993-a98c-719c9a1f2eee,"{155,476}",wine,Still,,Germany,"RAUENTHALER GEHRN CABINET TROCKENBEERENAUSLESE, Staatsweinguter ........................................

nssm‘ Preis der npnfgnhnn-T.nndwirtsnhaftsgesellschaft",Original Abfullung,,1953,Standard,60,,2017-06-14 21:18:14,2017-06-14 21:18:14
f586147e-3cc8-44be-b767-6ee3f89ed31a,,bdf09e74-ea8b-4993-a98c-719c9a1f2eee,"{133,618}",wine,Still,,Germany,"GRAACHER HIMMELREICH TROCKENBEERENAUSLESE, Friedrich Wilheim Gymnasium","Original

Abfullung",,1959,Standard,45,,2017-06-14 21:18:14,2017-06-14 21:18:14
910f655b-6d2e-4387-be99-fadb90c9041f,,bdf09e74-ea8b-4993-a98c-719c9a1f2eee,"{131,997}",wine,Still,,Germany,"STEINBERGER RIESLING CABINET BEERENAUSLESE, Staatsweinguter","Original

Abfullung",,1959,Standard,27.75,,2017-06-14 21:18:14,2017-06-14 21:18:14
367b2f84-f97a-4b64-ae1c-4fe828496830,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{250,214}",wine,Still,Red,France,CHATEAU LA MISSION HAUT BRION (Graves),Bordeaux Rouges,,1962,Standard,5.49,59.3,2017-06-14 21:18:14,2017-06-14 21:18:14
9177b361-bdab-486a-8a14-228be5138d58,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{236,441}",wine,Still,Red,France,CHATEAU BELAIR Saint-Emilion,Bordeaux Rouges,,1961,Standard,4.49,48.5,2017-06-14 21:18:14,2017-06-14 21:18:14
9056373a-e46a-497b-a169-0adc049ab45e,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{238,587}",wine,Still,Red,France,CHATEAU LATOUR (Pauillac),Bordeaux Rouges,,1962,Standard,8.95,96.75,2017-06-14 21:18:14,2017-06-14 21:18:14
14f7b457-944e-4966-8a53-ded9f922a411,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{244,623}",wine,Still,Red,France,CHATEAU LA MISSION HAUT BRION (Graves),Bordeaux Rouges,,1962,Standard,5.49,59.3,2017-06-14 21:18:14,2017-06-14 21:18:14
f130f183-3c43-464c-838f-6c66939bac92,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{241,714}",wine,Still,Red,France,CHATEAU LATOUR (Pauillac),Bordeaux Rouges,,1963,Standard,4.49,48.5,2017-06-14 21:18:14,2017-06-14 21:18:14
3f758206-825e-42d0-b938-34c6f0a66f08,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{236,849}",wine,Still,Red,France,MÊDOC,Bordeaux Rouges,,1966,Standard,1.49,16.1,2017-06-14 21:18:14,2017-06-14 21:18:14
cbc88a17-2d58-426b-9268-3e71d8195143,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{246,151}",wine,Still,Red,France,CHATEAU HAUT-BRION (Graves),Bordeaux Rouges,,1960,Standard,5.49,59.3,2017-06-14 21:18:14,2017-06-14 21:18:14
3577993a-76ad-48c5-8523-88f25995f25e,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{247,180}",wine,Still,Red,France,CHATEAU CHEVAL BLANC (Saint-Emilion),Bordeaux Rouges,,1960,Standard,5.49,59.3,2017-06-14 21:18:14,2017-06-14 21:18:14
3118f2ee-ba65-4285-a419-4dbfd2db3e87,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{247,308}",wine,Still,Red,France,CHATEAU MOUTUH ROTHSCHILD (Pauillac),Bordeaux Rouges,,1961,Standard,15.95,172.5,2017-06-14 21:18:14,2017-06-14 21:18:14
fd35226b-9a6e-4186-a0b5-8c0a180b15bb,,bf4dc4e3-83bf-4992-b491-6c06a345e3a4,"{248,337}",wine,Still,Red,France,CHATEAU HAUT-BBION (Graves),Bordeaux Rouges,,1961,Standard,13.5,145.8,2017-06-14 21:18:14,2017-06-14 21:18:14
